ID, Time, Condition, ROI_Average, P7, TP7, CP5
1,176.352705,1,1.830957,2.722927,2.291355,0.478591
1,178.356713,1,1.703287,2.606845,2.079622,0.423395
1,180.360721,1,1.621236,2.534456,1.894635,0.434616
1,182.364729,1,1.598649,2.495895,1.754861,0.545191
1,184.368737,1,1.570970,2.434729,1.627838,0.650343
1,186.372745,1,1.524235,2.356486,1.514969,0.701250
1,188.376754,1,1.527541,2.346076,1.462389,0.774158
1,190.380762,1,1.604794,2.435624,1.477019,0.901740
1,192.384770,1,1.699185,2.575504,1.504529,1.017521
1,194.388778,1,1.765653,2.735602,1.497056,1.064301
1,196.392786,1,1.803498,2.914496,1.455117,1.040882
1,198.396794,1,1.825374,3.092858,1.411546,0.971717
1,200.400802,1,1.838182,3.254349,1.366385,0.893813
1,202.404810,1,1.825502,3.391845,1.286903,0.797757
1,204.408818,1,1.774937,3.506375,1.166281,0.652155
1,206.412826,1,1.703546,3.605451,1.024730,0.480458
1,208.416834,1,1.627126,3.692309,0.902220,0.286850
1,210.420842,1,1.541304,3.758793,0.812097,0.053021
1,212.424850,1,1.412707,3.756511,0.702461,-0.220852
1,214.428858,1,1.249611,3.695120,0.559040,-0.505328
1,216.432866,1,1.110322,3.659109,0.432889,-0.761032
1,218.436874,1,0.994534,3.672716,0.318069,-1.007183
1,220.440882,1,0.872982,3.705794,0.179036,-1.265886
1,222.444890,1,0.737041,3.716011,0.023183,-1.528073
1,224.448898,1,0.573697,3.656678,-0.140225,-1.795361
1,226.452906,1,0.447950,3.585767,-0.267121,-1.974795
1,228.456914,1,0.461333,3.611402,-0.282613,-1.944789
1,230.460922,1,0.606435,3.727225,-0.178207,-1.729713
1,232.464930,1,0.775215,3.823781,-0.014505,-1.483630
1,234.468938,1,0.871509,3.809953,0.143837,-1.339261
1,236.472946,1,0.915946,3.729400,0.278032,-1.259596
1,238.476954,1,0.985583,3.696304,0.412175,-1.151731
1,240.480962,1,1.094481,3.747796,0.570067,-1.034422
1,242.484970,1,1.223668,3.870389,0.748238,-0.947623
1,244.488978,1,1.346744,4.020738,0.896431,-0.876938
1,246.492986,1,1.479837,4.165476,1.004612,-0.730577
1,248.496994,1,1.635736,4.290334,1.100508,-0.483634
1,250.501002,1,1.763652,4.376762,1.155332,-0.241137
1,252.505010,1,1.856275,4.447916,1.133652,-0.012744
1,254.509018,1,1.943959,4.524377,1.042498,0.265002
1,256.513026,1,2.002703,4.565894,0.893692,0.548522
