ID, Time, Condition, ROI_Average, P8, TP8, CP6
1,607.214429,1,-1.709828,-1.671782,-8.714055,5.256352
1,609.218437,1,-1.472178,-1.602027,-8.386563,5.572056
1,611.222445,1,-1.310911,-1.538441,-8.197140,5.802849
1,613.226453,1,-1.295649,-1.525631,-8.169066,5.807748
1,615.230461,1,-1.400179,-1.618321,-8.198106,5.615890
1,617.234469,1,-1.493752,-1.732438,-8.200623,5.451804
1,619.238477,1,-1.490407,-1.804152,-8.161290,5.494220
1,621.242485,1,-1.440450,-1.925231,-8.094988,5.698870
1,623.246493,1,-1.454378,-2.176998,-8.060624,5.874487
1,625.250501,1,-1.617684,-2.522009,-8.184475,5.853433
1,627.254509,1,-1.893173,-2.857942,-8.487007,5.665430
1,629.258517,1,-2.151122,-3.128174,-8.811259,5.486068
1,631.262525,1,-2.301406,-3.266876,-9.063114,5.425773
1,633.266533,1,-2.334306,-3.235751,-9.259104,5.491935
1,635.270541,1,-2.307210,-3.141142,-9.388833,5.608345
1,637.274549,1,-2.299226,-3.106953,-9.442523,5.651797
1,639.278557,1,-2.340363,-3.184501,-9.436587,5.599999
1,641.282565,1,-2.375759,-3.349838,-9.362051,5.584611
1,643.286573,1,-2.367349,-3.493135,-9.262065,5.653152
1,645.290581,1,-2.350492,-3.561638,-9.199094,5.709255
1,647.294589,1,-2.320623,-3.553641,-9.147742,5.739514
1,649.298597,1,-2.255007,-3.471124,-9.088618,5.794722
1,651.302605,1,-2.188981,-3.361815,-9.056673,5.851546
1,653.306613,1,-2.167858,-3.259610,-9.093083,5.849119
1,655.310621,1,-2.199426,-3.155654,-9.245541,5.802916
1,657.314629,1,-2.239049,-3.015599,-9.496585,5.795036
1,659.318637,1,-2.204207,-2.793753,-9.682278,5.863411
1,661.322645,1,-2.112733,-2.530702,-9.739524,5.932026
1,663.326653,1,-2.124885,-2.370351,-9.874291,5.869987
1,665.330661,1,-2.275014,-2.337159,-10.173506,5.685621
1,667.334669,1,-2.401058,-2.293235,-10.439224,5.529285
1,669.338677,1,-2.437938,-2.223366,-10.546432,5.455984
1,671.342685,1,-2.448902,-2.196504,-10.557991,5.407789
1,673.346693,1,-2.454455,-2.192766,-10.551494,5.380893
